hanzi,pinyin,english,hsk_level,category,frequency_rank
称,chēng,to call someone by a particular name,5,Verb,826
深,shēn,deep,4,Adjective,827
安排,ānpái,arrangement,4,Noun,828
安排,ānpái,to arrange,4,Verb,828
受到,shòudào,to receive,4,Verb,829
年轻,niánqīng,youthful,3,Adjective,830
小说,xiǎoshuō,a novel,4,Noun,831
世纪,shìjì,century,4,Noun,833
人生,rénshēng,life (one's time on earth),5,Noun,834
经历,jīnglì,an experience,4,Noun,835
经历,jīnglì,to go through (an experience),4,Verb,835
大概,dàgài,roughly; probably; approximate,4,Adverb,837
警察,jǐngchá,"police, policeman, policewoman",4,Noun,838
消息,xiāoxi,news,4,Noun,839
要是,yàoshi,if,4,Conjunction,840
从来,cónglái,always; never (if used in negative sentence),4,Adverb,842
本来,běnlái,originally,4,Adverb,843
照片,zhàopiàn,photograph,3,Noun,844
试,shì,to try,3,Verb,848
中心,zhōngxīn,center,5,Noun,854
调查,diàochá,survey,4,Noun,855
调查,diàochá,to survey,4,Verb,855
经验,jīngyàn,(accumulated) experience,4,Noun,856
尽管,jǐnguǎn,although,4,Conjunction,857
小姐,xiǎojiě,Miss,1,Noun,859
改变,gǎibiàn,to change; a change,4,Verb,860
习惯,xíguàn,"habit, custom",3,Noun,861
传统,chuántǒng,traditional,5,Adjective,863
传统,chuántǒng,tradition,5,Noun,863
到底,dàodǐ,after all,4,Adverb,866
心情,xīnqíng,mood,4,Noun,868
达到,dádào,to reach (a result),5,Verb,870
后面,hòumiàn,behind,1,Noun,871
科学,kēxué,science; scientific,4,Noun,872
组,zǔ,group,5,Noun,873
合作,hézuò,to cooperate,5,Verb,874
增加,zēngjiā,"to add, to increase",4,Verb,876
明天,míngtiān,tomorrow,1,Noun,877
专家,zhuānjiā,expert,5,Noun,883
老板,lǎobǎn,boss,5,Noun,885
变化,biànhuà,change,3,Noun,886
变化,biànhuà,to change,3,Verb,886
方,fāng,square,5,Adjective,889
解释,jiěshì,explanation,4,Noun,890
解释,jiěshì,to explain,4,Verb,890
利用,lìyòng,"to use (even a person), to utilize",5,Verb,891
报告,bàogào,(work) report,5,Noun,892
报告,bàogào,to report,5,Verb,892
交,jiāo,to make (friends),4,Verb,893
朝,cháo,towards,5,Preposition,894
建筑,jiànzhù,"building, structure; architecture",5,Noun,896
分析,fēnxī,analysis,5,Noun,897
分析,fēnxī,to analyze,5,Verb,897
收,shōu,to receive (money),4,Verb,898
遍,biàn,time(s) [measure word for counting actions from start to finish],4,Measure Word,900
美丽,měilì,beautiful,4,Adjective,901
千,qiān,thousand,2,Numeral,903
不仅,bùjǐn,not only (this one);not just (...) but also,4,Conjunction,904
比赛,bǐsài,"competition (sports, etc.)",3,Noun,905
不管,bùguǎn,"no matter (what, how)",4,Conjunction,906
处理,chǔlǐ,"to process, to handle",5,Verb,907
投资,tóuzī,investment,5,Noun,908
投资,tóuzī,to invest,5,Verb,908
意义,yìyì,"meaning, significance",5,Noun,911
脚,jiǎo,"foot, leg",3,Noun,915
建立,jiànlì,to establish,5,Verb,916
成绩,chéngjì,achievement; grades,3,Noun,917
旁边,pángbiān,"the side, next to",2,Noun,918
文学,wénxué,literature,5,Noun,919
鱼,yú,fish,2,Noun,920
鱼,yú,fish,3,Noun,920
首先,shǒuxiān,first of all,4,Preposition,921
阵,zhèn,[measure word for states of short duration],5,Measure Word,924
南,nán,south,3,Noun,927
考虑,kǎolǜ,to consider,4,Verb,928
某,mǒu,"some..., a certain...",5,Adjective,929
满,mǎn,to reach a quota or limit,4,Verb,930
仍然,réngrán,"still, yet",4,Adverb,931
尤其,yóuqí,especially,4,Adverb,932
北,běi,north,3,Noun,935
面对,miànduì,"to confront, to face",5,Verb,937
讨论,tǎolùn,discussion,4,Noun,938
讨论,tǎolùn,to discuss,4,Verb,938
亿,yì,100 million,5,Numeral,940
差,chà,poor quality; to differ,3,Verb,941
对方,duìfāng,"the other person, the other side",5,Noun,942
感情,gǎnqíng,deep affection for sb or sth; relationship (i.e. love affair),4,Noun,943
刚才,gāngcái,(just) a moment ago,3,Noun,945
改革,gǎigé,reform,5,Noun,948
改革,gǎigé,to reform,5,Verb,948
装,zhuāng,to install; to pretend,5,Verb,950
热,rè,hot,1,Adjective,953
抱,bào,"to hold, to hug",4,Verb,955
节,jié,"section, length",4,Measure Word,956
节,jié,"festival, holiday",4,Noun,956
属于,shǔyú,to belong to,5,Verb,957
姐姐,jiějie,older sister,2,Noun,958
注册,zhùcè,to register,5,Verb,959
生产,shēngchǎn,"to produce, to manufacture",5,Verb,960
目标,mùbiāo,target,5,Noun,961
错,cuò,"mistake, fault; mistakenly",2,Noun,962
推荐,tuījiàn,recommendation,5,Noun,963
推荐,tuījiàn,to recommend,5,Verb,963
免费,miǎnfèi,free,4,Adjective,964
免费,miǎnfèi,to be free of charge,4,Verb,964
香,xiāng,"fragrant, good-smelling",4,Adjective,966
杀,shā,to kill,5,Verb,967
一会儿,yīhuìr,a while,3,Noun,969
弄,nòng,to do,4,Verb,970
梦,mèng,dream,4,Noun,972
文字,wénzì,"text, written language",5,Noun,974
乱,luàn,"chaotic, messy, disorganized",4,Adjective,975
造成,zàochéng,to create (a situation),5,Verb,976
作用,zuòyòng,impact,3,Noun,977
作用,zuòyòng,action; function; activity; impact,4,Noun,977
作用,zuòyòng,to act on; to affect,4,Verb,977
心理,xīnlǐ,"mentality, psychology",5,Noun,978
只好,zhǐhǎo,"to have to, to have no choice but to",4,Adverb,979
坚持,jiānchí,"to persevere, to persist in",4,Verb,980
系,jì,"to tie up, to fasten (e.g. a seatbelt)",5,Verb,987
雪,xuě,snow,2,Noun,991
雪,xuě,snow,3,Noun,991
旅游,lǚyóu,travel,2,Noun,995
旅游,lǚyóu,to travel,2,Verb,995
支,zhī,[measure word for pens],5,Measure Word,1001
似的,shì de,to look like,5,Phrase,1003
会议,huìyì,meeting,3,Noun,1005
顿,dùn,"[measure word for meals, beatings, scoldings]",5,Measure Word,1007
无论,wúlùn,regardless of,4,Conjunction,1008
群,qún,group,5,Measure Word,1011
报道,bàodào,(news) report,5,Noun,1013
报道,bàodào,to report (on the news),5,Verb,1013
居然,jūrán,"unexpectedly, to one's surprise",5,Adverb,1014
中文,Zhōngwén,Chinese (language),3,Noun,1015
交流,jiāoliú,to communicate,4,Verb,1016
目的,mùdì,"purpose, aim, goal",4,Noun,1017
布,bù,cloth,5,Noun,1019
民族,mínzú,"nationality, ethnic group",4,Noun,1020
下载,xiàzǎi,to download,5,Verb,1021
保护,bǎohù,to protect,4,Verb,1022
龙,lóng,dragon,5,Noun,1023
妻子,qīzi,wife,2,Noun,1026
至少,zhìshǎo,at least,4,Adverb,1027
确实,quèshí,indeed,4,Adverb,1028
派,pài,"faction, school of thought",5,Noun,1029
派,pài,to send (on official business),5,Verb,1029
咱们,zánmen,"we, us (you and I)",4,Personal Pronoun,1031
控制,kòngzhì,control,5,Noun,1033
控制,kòngzhì,to control,5,Verb,1033
健康,jiànkāng,healthy; health,3,Adjective,1034
结婚,jiéhūn,to get married,3,Verb,1035
遇到,yùdào,"to run into, to come across",3,Verb,1038
实现,shíxiàn,to realize,5,Verb,1040
地址,dìzhǐ,address,4,Noun,1042
保持,bǎochí,"to maintain, to keep",5,Verb,1048
未来,wèilái,future,5,Noun,1049
占,zhàn,to occupy; to comprise,5,Verb,1053
忽然,hūrán,suddenly,5,Adverb,1054
形成,xíngchéng,to take shape,5,Verb,1056
严重,yánzhòng,serious,4,Adjective,1057
接着,jiēzhe,"to continue doing; next, ...",4,Adverb,1059
现代,xiàndài,modern,5,Noun,1061
竟然,jìngrán,unexpectedly,4,Adverb,1062
重新,chóngxīn,all over again,4,Adverb,1063
洗,xǐ,"to wash, to bathe",2,Noun,1065
欢迎,huānyíng,to welcome,3,Verb,1066
背,bèi,(one's) back,5,Noun,1067
背,bēi,"to recite from memory, to learn by heart",5,Verb,1067
绝对,juéduì,absolutely,5,Adverb,1068
具体,jùtǐ,specific,5,Adjective,1071
具体,jùtǐ,specifically,5,Adverb,1071
翻译,fānyì,"translation, translator",4,Noun,1072
翻译,fānyì,to translate,4,Verb,1072
人物,rénwù,"character (in a novel, film, etc.)",5,Noun,1076
按照,ànzhào,according to,4,Preposition,1082
留学,liúxué,to study abroad,3,Verb,1083
编辑,biānjí,to edit,5,Verb,1085
停,tíng,to stop,4,Verb,1086
担心,dānxīn,to worry,3,Verb,1087
方向,fāngxiàng,direction,4,Noun,1088
打电话,dǎ diànhuà,to call on the phone,1,Phrase,1091
人类,rénlèi,humankind,5,Noun,1094
贵,guì,expensive; noble,2,Adjective,1095
随着,suízhe,along with,4,Preposition,1096
省,shěng,province,4,Noun,1097
省,shěng,"to save, to economize",4,Verb,1097
冷,lěng,cold,1,Adjective,1099
批,pī,batch,5,Measure Word,1100
申请,shēnqǐng,application,4,Noun,1102
申请,shēnqǐng,to apply (for),4,Verb,1102
基础,jīchǔ,base; foundation,4,Noun,1103
关,guān,"to close, to shut, to turn off",3,Verb,1105
猫,māo,cat,1,Noun,1106
猫,māo,cat,3,Noun,1106
即使,jíshǐ,even if; even though,4,Conjunction,1108
意见,yìjiàn,opinion,4,Noun,1110
充满,chōngmǎn,to be full of,5,Verb,1115
宿舍,sùshè,dormitory,5,Noun,1116
超过,chāoguò,to surpass; to exceed; to outstrip,4,Verb,1118
前面,qiánmiàn,front,1,Noun,1119
附近,fùjìn,"nearby, (in the) vicinity",3,Noun,1120
丈夫,zhàngfu,husband,2,Noun,1122
软件,ruǎnjiàn,software,5,Noun,1124
蓝,lán,blue,3,Adjective,1125
制度,zhìdù,"system, institution",5,Noun,1127
力量,lìliang,power,5,Noun,1128
累,lèi,tired,2,Adjective,1129
司机,sījī,driver,3,Noun,1131
状态,zhuàngtài,"state, condition",5,Noun,1134
哈,hā,[sound of laughter or a yawn],5,Interjection,1135
检查,jiǎnchá,"to inspect, to examine",3,Verb,1136
资源,zīyuán,resource(s),5,Noun,1137
早上,zǎoshang,morning,2,Noun,1138
工程,gōngchéng,(engineering or construction) project,5,Noun,1139
负责,fùzé,to be in charge of,4,Verb,1141
证明,zhèngmíng,proof,4,Noun,1142
证明,zhèngmíng,to prove,4,Verb,1142
节目,jiémù,program,3,Noun,1144
姑娘,gūniang,"young woman, girl",5,Noun,1145
行动,xíngdòng,"action, movement",5,Noun,1148
功能,gōngnéng,function,5,Noun,1150
阳光,yángguāng,sunshine,4,Adjective,1152
云,yún,cloud,4,Noun,1155
喊,hǎn,to yell,5,Verb,1157
程度,chéngdù,degree,5,Noun,1158
收入,shōurù,revenue,4,Noun,1159
引起,yǐnqǐ,"to lead to, to cause",4,Verb,1160
现实,xiànshí,"realistic, pragmatic",5,Adjective,1161
去年,qùnián,last year,2,Noun,1162
痛苦,tòngkǔ,"painful, agonizing",5,Adjective,1163
感受,gǎnshòu,"a feeling, an impression",5,Noun,1164
感受,gǎnshòu,"to feel, to experience",5,Verb,1164
价值,jiàzhí,value,5,Noun,1165
哥哥,gēge,older brother,2,Noun,1167
照,zhào,to take a picture,4,Verb,1168
态度,tàidu,attitude,4,Noun,1169
时期,shíqī,time period,5,Noun,1170
坏,huài,bad; spoiled; broken; to break (down),3,Adjective,1171
银行,yínháng,bank,3,Noun,1172
农民,nóngmín,farmer,5,Noun,1173
空,kōng,empty,4,Adjective,1175
认真,rènzhēn,serious; seriously,3,Adjective,1177
举行,jǔxíng,"to hold (a party, meeting, activity, etc.)",4,Verb,1180
位置,wèizhi,"position, place, seat",5,Noun,1181
相当,xiāngdāng,considerably,5,Adverb,1182
期间,qījiān,time period,5,Noun,1183
紧张,jǐnzhāng,"nervous, tense; strained",4,Adjective,1184
交通,jiāotōng,traffic,4,Noun,1188
文件,wénjiàn,"document, file",5,Noun,1191
当地,dāngdì,local,5,Noun,1194
形式,xíngshì,"formality, shape, outer apeparance",5,Noun,1196
任务,rènwu,"task, assignment",4,Noun,1197
空间,kōngjiān,space,5,Noun,1198
正常,zhèngcháng,normal,4,Adjective,1199
票,piào,ticket,2,Noun,1200
票,piào,ticket,3,Noun,1200
上午,shàngwǔ,morning,1,Noun,1201
运动,yùndòng,"sports, exercise",2,Noun,1202
运动,yùndòng,"to exercise, to play sports",2,Verb,1202
休息,xiūxi,"to rest, to sleep",2,Verb,1210
难道,nándào,could it be that...? [rhetorical question marker],4,Adverb,1211
困难,kùnnan,difficulty,4,Noun,1212
日期,rìqī,date,5,Noun,1213
显得,xiǎnde,"to seem, to appear",5,Verb,1214
念,niàn,to read aloud,5,Verb,1216
失去,shīqù,to lose (something),5,Verb,1217
广场,guǎngchǎng,"public square, plaza",5,Noun,1218
效果,xiàoguǒ,positive result,4,Noun,1219
质量,zhìliàng,quality; mass (in physics),4,Noun,1222
躺,tǎng,to lie on one's back,4,Verb,1223
树,shù,tree,3,Noun,1224
开发,kāifā,development,5,Noun,1225
开发,kāifā,"to develop (software, business, etc.)",5,Verb,1225
材料,cáiliào,material,4,Noun,1226
唯一,wéiyī,"only, sole",5,Adjective,1227
欧洲,Ōuzhōu,Europe,5,Noun,1229
采访,cǎifǎng,an interview,5,Noun,1230
采访,cǎifǎng,"to interview (for a news article, etc.)",5,Verb,1230
实际,shíjì,actual,4,Noun,1233
课程,kèchéng,"course, curriculum",5,Noun,1234
火,huǒ,"popular, hot",4,Adjective,1235
血,xuè,blood,5,Noun,1237
奇怪,qíguài,"strange, odd; to be baffled",3,Adjective,1238
战争,zhànzhēng,war,5,Noun,1240
中间,zhōngjiān,in the middle,3,Noun,1242
久,jiǔ,long (time),3,Adjective,1244
正式,zhèngshì,formal,4,Adjective,1246
怎么样,zěnmeyàng,how about,1,Interrogative Pronoun,1247
经营,jīngyíng,to operate (a business),5,Verb,1248
保证,bǎozhèng,to guarantee,4,Verb,1249
敢,gǎn,to dare (to),3,Verb,1250
敢,gǎn,to dare (to),4,Verb,1250
表达,biǎodá,expression,5,Noun,1252
表达,biǎodá,to express,5,Verb,1252
现象,xiànxiàng,phenomenon,5,Noun,1253
妹妹,mèimei,younger sister; young woman,2,Noun,1254
以来,yǐlái,since (a previous event),5,Conjunction,1255
办公室,bàngōngshì,office,3,Noun,1256
睡觉,shuìjiào,to sleep,1,Verb,1259
抓,zhuā,to catch,5,Verb,1263
往往,wǎngwǎng,often;frequently,4,Adverb,1265
熟悉,shúxī,to be familiar with,4,Verb,1267
依然,yīrán,"still, yet",5,Adverb,1268
显示,xiǎnshì,to display,5,Verb,1270
同意,tóngyì,to agree,3,Verb,1271
仿佛,fǎngfú,as if,5,Verb,1273
理论,lǐlùn,theory,5,Noun,1274
杂志,zázhì,magazine,4,Noun,1275
共同,gòngtóng,"joint, in common",4,Adjective,1280
明显,míngxiǎn,obvious,5,Adjective,1284
工人,gōngrén,worker,5,Noun,1287
直,zhí,straight,5,Adjective,1290
够,gòu,to be enough,4,Verb,1292
翻,fān,"to turn over, to flip",5,Verb,1294
记忆,jìyì,memories,5,Noun,1295
刀,dāo,knife,4,Noun,1296
值得,zhíde,to be worth (doing),4,Verb,1300
头发,tóufa,hair (on the head),3,Noun,1303
享受,xiǎngshòu,to enjoy,5,Verb,1304
黄,huáng,yellow,3,Adjective,1308
主题,zhǔtí,theme,5,Noun,1309
行业,hángyè,industry,5,Noun,1310
嘴,zuǐ,mouth,3,Noun,1311
太阳,tàiyáng,sun,3,Noun,1312
响,xiǎng,to make a sound,4,Verb,1313
飞机,fēijī,airplane,1,Noun,1316
飞机,fēijī,airplane,3,Noun,1316
印象,yìnxiàng,impression,4,Noun,1318
旧,jiù,old and worn out,3,Adjective,1319
冲,chōng,to rush; to rinse,5,Verb,1320
兄弟,xiōngdì,bros,5,Noun,1321
陪,péi,to accompany; to keep someone company,4,Verb,1323
如今,rújīn,"nowadays, now",5,Noun,1326
培养,péiyǎng,sustenance,5,Noun,1327
培养,péiyǎng,to nurture,5,Verb,1327
训练,xùnliàn,to train,5,Verb,1328
公里,gōnglǐ,kilometer,4,Measure Word,1330
事实,shìshí,fact,5,Noun,1332
真实,zhēnshí,"true, real",5,Adjective,1335
出版,chūbǎn,to publish,5,Verb,1340
立刻,lìkè,immediately,5,Adverb,1343
立即,lìjí,immediately,5,Adverb,1344
感谢,gǎnxiè,to be grateful,4,Verb,1346
毕竟,bìjìng,after all,5,Adverb,1347
周围,zhōuwéi,"surroundings, environment",4,Noun,1351
多么,duōme,how (wonderful etc)/what (a great idea etc),3,Adverb,1353
速度,sùdù,speed; rate; velocity,4,Noun,1354
观众,guānzhòng,audience (of a stage performance or visual media),4,Noun,1355
理由,lǐyóu,reason,5,Noun,1356
农村,nóngcūn,the countryside,5,Noun,1357
优秀,yōuxiù,"outstanding, excellent",4,Adjective,1359
颗,kē,"[measure word for for small balls like teeth, hearts, pearls, corn kernels]",5,Measure Word,1361
兴趣,xìngqù,interest (in something),3,Noun,1365
借,jiè,"to lend, to borrow",3,Verb,1366
堆,duī,[measure word for stacks of things],5,Measure Word,1367
堆,duī,to pile up,5,Verb,1367
结构,jiégòu,structure,5,Noun,1368
关心,guānxīn,"to care for, to be concerned about",3,Verb,1369
不如,bùrú,"to be not as good as; ""it would be better to...""",5,Verb,1372
业务,yèwù,a company's business (as opposed to business in general),5,Noun,1373
中午,zhōngwǔ,noon,1,Noun,1374
压力,yālì,pressure,4,Noun,1376
分别,fēnbié,to part or leave each other,5,Verb,1377
放弃,fàngqì,"to give up, to abandon",4,Verb,1379
人才,réncái,a person's talent,5,Noun,1380
假,jiǎ,fake,4,Adjective,1382
骂,mà,"to yell at, to scold, to curse",5,Verb,1383
销售,xiāoshòu,sales; salesperson,5,Noun,1384
船,chuán,"boat, ship",3,Noun,1385
破,pò,"worn out, lousy; to break",4,Adjective,1386
破,pò,to break,4,Verb,1386
茶,chá,tea,1,Noun,1391
平时,píngshí,usually,4,Noun,1392
挂,guà,to hang or suspend (from a hook etc); (of a telephone call) to hang up,4,Verb,1397
摸,mō,"to touch, to feel (with one's hand), to stroke",5,Verb,1398
错误,cuòwù,"error, mistake; mistaken",4,Noun,1401
参与,cānyù,to participate (in),5,Verb,1404
成立,chénglì,"to establish, to set up",5,Verb,1406
阶段,jiēduàn,"stage, period",5,Noun,1407
春,chūn,spring,3,Noun,1408
老婆,lǎopo,(informal) wife,5,Noun,1410
通知,tōngzhī,a notice,4,Noun,1412
通知,tōngzhī,to notify,4,Verb,1412
可爱,kě'ài,"lovable, cute",3,Adjective,1413
年龄,niánlíng,(a person's) age,4,Noun,1415
专门,zhuānmén,"especially (for), specialized",4,Adverb,1416
微笑,wēixiào,a smile,5,Noun,1417
微笑,wēixiào,to smile,5,Verb,1417
巨大,jùdà,huge,5,Adjective,1419
职业,zhíyè,occupation,4,Noun,1421
观点,guāndiǎn,point of view,5,Noun,1422
便宜,piányi,"cheap, inexpensive",2,Adjective,1430
便宜,piányi,"cheap, inexpensive",3,Adjective,1430
形象,xíngxiàng,image; visual,5,Noun,1435
短,duǎn,short,3,Adjective,1437
寻找,xúnzhǎo,to seek,5,Verb,1438
想象,xiǎngxiàng,to imagine,5,Verb,1439
青,qīng,green,5,Adjective,1440
取,qǔ,to take,4,Verb,1442
重点,zhòngdiǎn,emphasis; focal point,4,Noun,1443
味道,wèidào,"flavor, smell, taste",4,Noun,1444
回忆,huíyì,to recall,4,Verb,1449
顶,dǐng,"top, most, roof",5,Noun,1450
推,tuī,to push,4,Verb,1453
否则,fǒuzé,"otherwise, or else",4,Conjunction,1454
主任,zhǔrèn,director,5,Noun,1455
正确,zhèngquè,"correct, right",4,Adjective,1460
思考,sīkǎo,to ponder,5,Verb,1461
呆,dāi,to stay (in a place) [also written as 待],5,Verb,1462
开心,kāixīn,happy,4,Adjective,1463
苦,kǔ,"bitter, hardship",4,Adjective,1465
演出,yǎnchū,"performance, concert",4,Noun,1469
演出,yǎnchū,to perform,4,Verb,1469
承认,chéngrèn,to admit,5,Verb,1475
圈,quān,circle,5,Noun,1477
记录,jìlù,a (written) record,5,Noun,1479
动作,dòngzuò,movement,4,Noun,1481
报名,bàomíng,to sign up (for),4,Verb,1482
戴,dài,to carry; to wear (an accessory),4,Verb,1483
热情,rèqíng,"enthusiastic, passionate, super friendly",3,Adjective,1487
利益,lìyì,benefit,5,Noun,1488
哪儿,nǎr,where,1,Interrogative Pronoun,1490
宣传,xuānchuán,to promote,5,Verb,1491
弟弟,dìdi,younger brother,2,Noun,1494
积极,jījí,active; positive,4,Adjective,1495
人民币,rénmínbì,"RMB, Chinese Yuan (CNY)",5,Noun,1498
鸟,niǎo,bird,3,Noun,1499
等待,děngdài,to wait (for),5,Verb,1500
拒绝,jùjué,"to refuse, to reject",4,Verb,1502
奶奶,nǎinai,paternal grandmother,3,Noun,1505
届,jiè,"[measure word for elections, sporting events, graduating classes]",5,Measure Word,1507
星期,xīngqī,week,1,Noun,1509
药,yào,"medicine, drug",2,Noun,1510
猜,cāi,to guess,4,Verb,1511
确定,quèdìng,to be sure,5,Verb,1513
范围,fànwéi,"range, scope",5,Noun,1514
的确,díquè,indeed,5,Adverb,1515
简直,jiǎnzhí,"simply, practically",5,Adverb,1516
掌握,zhǎngwò,to master (a skill),5,Verb,1519
县,xiàn,county,5,Noun,1520
独立,dúlì,independent,5,Adjective,1521
丰富,fēngfù,abundant,4,Adjective,1523
丰富,fēngfù,to enrich,4,Verb,1523
培训,péixùn,training,5,Noun,1529
培训,péixùn,to train,5,Verb,1529
差不多,chàbuduō,"more or less, almost",4,Adverb,1532
忘记,wàngjì,to forget,3,Verb,1533
统一,tǒngyī,to unify,5,Verb,1535
平,píng,flat,5,Adjective,1538
反正,fǎnzhèng,anyway...,5,Conjunction,1539
主席,zhǔxí,"chairman, chairperson",5,Noun,1541
方便,fāngbiàn,convenient,3,Adjective,1543
同事,tóngshì,"co-worker, colleague",3,Noun,1544
表情,biǎoqíng,(facial) expression; emoji,5,Noun,1546
轻,qīng,"light, easy, gentle, soft",4,Adjective,1549
满足,mǎnzú,to satisfy,5,Verb,1553
客人,kèrén,"visitor, guest, customer, client",3,Noun,1554
打算,dǎsuàn,plan,3,Noun,1555
打算,dǎsuàn,to plan (to),3,Verb,1555
反应,fǎnyìng,"reaction, response",5,Noun,1556
反应,fǎnyìng,to react,5,Verb,1556
报纸,bàozhǐ,newspaper,2,Noun,1558
报纸,bàozhǐ,newspaper,3,Noun,1558
动物,dòngwù,animal,3,Noun,1559
腿,tuǐ,leg,3,Noun,1560
桥,qiáo,bridge,4,Noun,1561
上班,shàngbān,to go to work,2,Verb,1562
大约,dàyuē,approximately; about,4,Adverb,1563
工资,gōngzī,"wages, pay",4,Noun,1564
特点,tèdiǎn,"characteristic, special trait",4,Noun,1565
采取,cǎiqǔ,"to adopt, to carry out (measures, policies, etc.)",5,Verb,1566
开放,kāifàng,to open up,5,Verb,1568
将来,jiānglái,in the future,4,Noun,1570
亮,liàng,bright,5,Adjective,1573
亮,liàng,to brighten,5,Verb,1573
颜色,yánsè,color,2,Noun,1574
关键,guānjiàn,key (issue),4,Noun,1577
据说,jùshuō,it is said that; reportedly,5,Verb,1578
适合,shìhé,"to fit, to suit",4,Verb,1582
创造,chuàngzào,to create,5,Verb,1584
总统,zǒngtǒng,president (of a country),5,Noun,1585
特殊,tèshū,"special, unusual",5,Adjective,1590
反对,fǎnduì,to oppose,4,Verb,1591
兴奋,xīngfèn,excited,4,Adjective,1593
既然,jìrán,"since..., this being the case...",4,Conjunction,1594
仔细,zǐxì,careful,4,Adjective,1595
竞争,jìngzhēng,competition,4,Noun,1596
竞争,jìngzhēng,to compete,4,Verb,1596
地位,dìwèi,status,5,Noun,1598
理想,lǐxiǎng,ideal,4,Noun,1599
可惜,kěxī,"such a shame, unfortunately",4,Adjective,1601
怀疑,huáiyí,to suspect; to doubt,4,Verb,1604
感动,gǎndòng,"to move emotionally, to touch emotionally",4,Verb,1605
迅速,xùnsù,"rapid, speedy",5,Adverb,1609
土地,tǔdì,"land, territory",5,Noun,1610
答应,dāying,"to promise, to agree to",5,Verb,1612
至今,zhìjīn,until now,5,Adverb,1614
情绪,qíngxù,mood,5,Noun,1615
追求,zhuīqiú,"to pursue (a goal, a love interest, etc.)",5,Verb,1616
猪,zhū,"pig, swine",5,Noun,1617
制作,zhìzuò,"to make, to create, to manufacture",5,Verb,1618
导致,dǎozhì,to lead to (something bad),5,Verb,1619
调整,tiáozhěng,adjustment,5,Noun,1620
调整,tiáozhěng,to adjust,5,Verb,1620
强烈,qiángliè,intense,5,Adverb,1622
反映,fǎnyìng,reflection,5,Noun,1624
反映,fǎnyìng,to reflect,5,Verb,1624
至于,zhìyú,"as for, to go so far as",5,Conjunction,1626
害怕,hàipà,to be afraid; to be scared,3,Verb,1627
恢复,huīfù,to resume,5,Verb,1629
估计,gūjì,to estimate,4,Verb,1631
接触,jiēchù,"in come into contact with, to encounter",5,Noun,1635
接触,jiēchù,"in come into contact with, to encounter",5,Verb,1635
危险,wēixiǎn,dangerous,4,Adjective,1636
危险,wēixiǎn,danger,4,Noun,1636
充分,chōngfèn,"full, ample",5,Adjective,1637
咖啡,kāfēi,coffee,2,Noun,1638
厚,hòu,"thick, deep",4,Adjective,1640
不得不,bùdébù,have no choice but,4,Phrase,1642
团,tuán,[measure word for a lump or a wad],5,Measure Word,1644
数字,shùzì,number,4,Noun,1645
姓,xìng,surname,2,Noun,1647
姓,xìng,to be surnamed,2,Verb,1647
年级,niánjí,grade (in school),3,Noun,1650
治疗,zhìliáo,medical treatment,5,Noun,1654
治疗,zhìliáo,to treat (an illness),5,Verb,1654
设备,shèbèi,"equipment, facilities",5,Noun,1656
显然,xiǎnrán,clear,5,Adjective,1658
答案,dá'àn,answer,4,Noun,1663
表演,biǎoyǎn,"play, show, performance",3,Noun,1664
表演,biǎoyǎn,play; show; performance; exhibition; to perform; to act; to demonstrate,4,Noun,1664
表演,biǎoyǎn,"to perform, to act",3,Verb,1664
表演,biǎoyǎn,to perform; to act; to demonstrate,4,Verb,1664
吸引,xīyǐn,to attract,4,Verb,1666
甲,jiǎ,"first in a series, highest grade of quality",5,Noun,1676
毛,máo,"hair, fur",4,Noun,1682
摆,bǎi,"to arrange, to exhibit",5,Verb,1684
轻松,qīngsōng,"gentle, relaxed",4,Adjective,1688
爷爷,yéye,paternal grandfather,3,Noun,1689
集中,jízhōng,to concentrate (something),5,Verb,1691
官,guān,officials,5,Noun,1692
追,zhuī,to pursue,5,Verb,1696
特色,tèsè,distinguishing feature(s),5,Noun,1697
瞧,qiáo,to look at,5,Verb,1699
灯,dēng,"light, lamp",3,Noun,1700
概念,gàiniàn,"concept, idea",5,Noun,1703
地点,dìdiǎn,"site, location",4,Noun,1705
教室,jiàoshì,classroom,2,Noun,1708
距离,jùlí,distance,4,Noun,1709
聊天,liáotiān,to chat,3,Verb,1711
始终,shǐzhōng,from beginning to end,5,Adverb,1712
必要,bìyào,necessary,5,Adjective,1714
汉语,hànyǔ,mandarin Chinese,1,Noun,1715
出口,chūkǒu,an exit,5,Adjective,1718
出口,chūkǒu,export,5,Noun,1718
出口,chūkǒu,to export,5,Verb,1718
数学,shùxué,mathematics,3,Noun,1719
风格,fēnggé,style,5,Noun,1721
碗,wǎn,[measure word for bowls of something],3,Measure Word,1724
碗,wǎn,bowl,3,Noun,1724
在于,zàiyú,to lie in,5,Verb,1728
天气,tiānqì,weather,1,Noun,1729
天气,tiānqì,weather,3,Noun,1729
原则,yuánzé,principle,5,Noun,1730
文明,wénmíng,civilization,5,Noun,1736
赶紧,gǎnjǐn,"quickly, hurriedly",5,Adverb,1737
偷,tōu,to steal,5,Verb,1738
吹,chuī,to blow,5,Verb,1739
对面,duìmiàn,"opposite to, across from",4,Noun,1740
资金,zījīn,funds,5,Noun,1743
投入,tóurù,"to throw into, to put into",5,Verb,1745
移民,yímín,immigrant,5,Noun,1746
